2020-07-17	3.0946	2.00
2020-07-16	3.0338	-4.78
2020-07-15	3.1861	-0.38
2020-07-14	3.1982	-0.58
2020-07-13	3.2167	2.94
2020-07-10	3.1249	-0.18
2020-07-09	3.1304	2.40
2020-07-08	3.0569	1.19
2020-07-07	3.0211	1.46
2020-07-06	2.9775	2.95
2020-07-03	2.8922	0.50
2020-07-02	2.8777	0.64
2020-07-01	2.8594	1.70
2020-06-30	2.8117	1.60
2020-06-29	2.7673	0.06
2020-06-24	2.7657	0.28
2020-06-23	2.7579	1.68
2020-06-22	2.7124	-0.29
2020-06-19	2.7204	1.51
2020-06-18	2.6800	0.83
2020-06-17	2.6580	0.26
2020-06-16	2.6512	2.09
2020-06-15	2.5970	-0.86
2020-06-12	2.6195	0.34
2020-06-11	2.6105	-0.94
2020-06-10	2.6352	0.51
2020-06-09	2.6218	0.99
2020-06-08	2.5962	0.22
2020-06-05	2.5904	0.12
2020-06-04	2.5873	0.82
2020-06-03	2.5663	0.13
2020-06-02	2.5630	0.46
2020-06-01	2.5512	2.81
2020-05-29	2.4814	1.15
2020-05-28	2.4532	-0.08
2020-05-27	2.4552	-1.09
2020-05-26	2.4823	1.98
2020-05-25	2.4340	0.49
2020-05-22	2.4221	-2.43
2020-05-21	2.4823	-0.39
2020-05-20	2.4919	-1.26
2020-05-19	2.5236	1.50
2020-05-18	2.4862	0.83
2020-05-15	2.4657	-0.05
2020-05-14	2.4669	-1.00
2020-05-13	2.4917	0.85
2020-05-12	2.4706	0.61
2020-05-11	2.4555	-0.07
2020-05-08	2.4571	1.08
2020-05-07	2.4309	0.34
2020-05-06	2.4227	0.99
2020-04-30	2.3989	0.93
2020-04-29	2.3767	-0.24
2020-04-28	2.3824	0.63
2020-04-27	2.3674	0.87
2020-04-24	2.3470	-0.53
2020-04-23	2.3594	-0.20
2020-04-22	2.3642	1.09
2020-04-21	2.3387	-0.82
2020-04-20	2.3580	1.05
2020-04-17	2.3336	0.74
2020-04-16	2.3165	0.16
2020-04-15	2.3128	-1.12
2020-04-14	2.3391	2.56
2020-04-13	2.2808	0.14
2020-04-10	2.2777	-0.99
2020-04-09	2.3004	1.03
2020-04-08	2.2769	-0.24
2020-04-07	2.2824	2.80
2020-04-03	2.2203	-0.06
2020-04-02	2.2216	2.01
2020-04-01	2.1778	-0.64
2020-03-31	2.1919	0.70
2020-03-30	2.1766	-1.41
2020-03-27	2.2078	-0.03
2020-03-26	2.2084	-0.61
2020-03-25	2.2219	2.76
2020-03-24	2.1622	2.73
2020-03-23	2.1047	-3.61
2020-03-20	2.1835	2.12
2020-03-19	2.1381	-0.53
2020-03-18	2.2595	-1.47
2020-03-17	2.2932	0.37
2020-03-16	2.2848	-5.28
2020-03-13	2.4121	-1.32
2020-03-12	2.4443	-2.38
2020-03-11	2.5038	-1.62
2020-03-10	2.5451	2.05
2020-03-09	2.4940	-4.00
2020-03-06	2.5979	-1.11
2020-03-05	2.6271	1.46
2020-03-04	2.5892	0.54
2020-03-03	2.5754	0.94
2020-03-02	2.5514	3.00
2020-02-28	2.4771	-4.06
2020-02-27	2.5820	0.66
2020-02-26	2.5651	-3.32
2020-02-25	2.6533	-0.27
2020-02-24	2.6604	0.98
2020-02-21	2.6347	0.83
2020-02-20	2.6129	1.88
2020-02-19	2.5647	-0.37
2020-02-18	2.5741	0.51
2020-02-17	2.5611	2.56
2020-02-14	2.4971	0.73
2020-02-13	2.4791	-0.57
2020-02-12	2.4934	1.12
2020-02-11	2.4658	0.83
2020-02-10	2.4455	0.85
2020-02-07	2.4248	0.05
2020-02-06	2.4235	2.32
2020-02-05	2.3685	0.71
2020-02-04	2.3517	3.86
2020-02-03	2.2643	-7.38
2020-01-23	2.4446	-3.47
2020-01-22	2.5325	0.73
2020-01-21	2.5141	-1.32
2020-01-20	2.5477	1.50
2020-01-17	2.5101	0.08
2020-01-16	2.5080	0.34
2020-01-15	2.4994	-0.03
2020-01-14	2.5001	-0.79
2020-01-13	2.5200	1.12
2020-01-10	2.4920	0.10
2020-01-09	2.4896	1.41
2020-01-08	2.4549	-0.79
